11/09/2017,15:05:00,1.31648,1.31649,1.31646,1.31647,24
11/09/2017,15:06:00,1.31646,1.3165,1.31638,1.3165,70
11/09/2017,15:07:00,1.31649,1.3165,1.31645,1.31648,45
11/09/2017,15:08:00,1.31649,1.31649,1.31647,1.31647,22
11/09/2017,15:09:00,1.31648,1.31649,1.31647,1.31648,19
11/09/2017,15:10:00,1.31648,1.3165,1.31648,1.31648,20
11/09/2017,15:11:00,1.31648,1.31656,1.31648,1.31652,28
11/09/2017,15:12:00,1.31652,1.31659,1.31652,1.31657,36
11/09/2017,15:13:00,1.31657,1.3166,1.31653,1.31654,32
11/09/2017,15:14:00,1.31655,1.31661,1.31655,1.31658,31
11/09/2017,15:15:00,1.31658,1.3166,1.31656,1.31659,35
11/09/2017,15:16:00,1.31658,1.3166,1.31656,1.31657,26
11/09/2017,15:17:00,1.31657,1.31657,1.31647,1.3165,61
11/09/2017,15:18:00,1.31649,1.31651,1.31646,1.3165,39
11/09/2017,15:19:00,1.3165,1.3165,1.31645,1.31645,22
11/09/2017,15:20:00,1.31646,1.31651,1.31646,1.3165,11
11/09/2017,15:21:00,1.31651,1.31662,1.3165,1.3166,45
11/09/2017,15:22:00,1.3166,1.31661,1.31659,1.3166,15
11/09/2017,15:23:00,1.3166,1.31661,1.31657,1.31659,34
11/09/2017,15:24:00,1.3166,1.31665,1.31658,1.31661,30
11/09/2017,15:25:00,1.3166,1.31661,1.31657,1.3166,31
11/09/2017,15:26:00,1.31661,1.31669,1.3166,1.31665,36
11/09/2017,15:27:00,1.31666,1.31671,1.31666,1.31668,28
11/09/2017,15:28:00,1.31668,1.3167,1.31668,1.3167,16
11/09/2017,15:29:00,1.3167,1.31671,1.31663,1.31669,77
11/09/2017,15:30:00,1.31669,1.31677,1.31662,1.31675,85
11/09/2017,15:31:00,1.31675,1.31678,1.31667,1.3167,74
11/09/2017,15:32:00,1.3167,1.31681,1.31662,1.31679,112
11/09/2017,15:33:00,1.31679,1.31681,1.31676,1.31678,50
11/09/2017,15:34:00,1.31679,1.31683,1.31678,1.31682,44
11/09/2017,15:35:00,1.31682,1.31686,1.31674,1.31681,87
11/09/2017,15:36:00,1.31681,1.31688,1.31664,1.31669,120
11/09/2017,15:37:00,1.31669,1.31671,1.31667,1.31668,79
11/09/2017,15:38:00,1.31669,1.31669,1.31655,1.31658,66
11/09/2017,15:39:00,1.31658,1.31669,1.31657,1.31666,56
11/09/2017,15:40:00,1.31666,1.3167,1.31666,1.31669,64
